cons_id,cons_no,prov_id,registered_vote,total_vote_stations,zone
SNK_3,3,SNK,132722,256,อำเภอพรรณานิคม
SNK_3,3,SNK,132722,256,อำเภอวานรนิวาส (เฉพาะตำบลนาซอ)
SNK_3,3,SNK,132722,256,อำเภออากาศอำนวย
SNK_4,4,SNK,127316,250,อำเภอกุดบาก
SNK_4,4,SNK,127316,250,อำเภอนิคมน้ำอูน
SNK_4,4,SNK,127316,250,อำเภอภูพาน
SNK_4,4,SNK,127316,250,อำเภอวาริชภูมิ
SNK_4,4,SNK,127316,250,อำเภอส่องดาว (ยกเว้นตำบลท่าศิลา)
SNK_5,5,SNK,128271,223,อำเภอสว่างแดนดิน
SNK_5,5,SNK,128271,223,อำเภอส่องดาว (เฉพาะตำบลท่าศิลา)
SNK_6,6,SNK,128348,234,อำเภอเจริญศิลป์
SNK_6,6,SNK,128348,234,อำเภอพังโคน
SNK_6,6,SNK,128348,234,"อำเภอวานรนิวาส (เฉพาะตำบลธาตุ, ตำบลเดื่อศรีคันไชย, ตำบลศรีวิชัย, ตำบลคอนสวรรค์, ตำบลหนองสนม, ตำบลขัวก่าย)"
SNK_7,7,SNK,129965,242,อำเภอคำตากล้า
SNK_7,7,SNK,129965,242,อำเภอบ้านม่วง
SNK_7,7,SNK,129965,242,"อำเภอวานรนิวาส (เฉพาะตำบลวานรนิวาส, ตำบลคูสะคาม, ตำบลหนองแวง, ตำบลอินทร์แปลง, ตำบลนาคำ, ตำบลกุดเรือคำ, ตำบลหนองแวงใต้)"
SPB_1,1,SPB,134481,228,อำเภอเมืองสุพรรณบุรี
SPB_2,2,SPB,130088,245,อำเภอบางปลาม้า
SPB_2,2,SPB,130088,245,"อำเภอสองพี่น้อง (เฉพาะเทศบาลเมืองสองพี่น้อง, ตำบลบางตาเถร, ตำบลบางเลน, ตำบลศรีสำราญ, ตำบลดอนมะนาว, ตำบลบ้านกุ่ม, ตำบลหัวโพธิ์, ตำบลเนินพระปรางค์, ตำบลบ้านช้าง, ตำบลบางตะเคียน, ตำบลบางพลับ, ตำบลต้นตาล)"
SPB_3,3,SPB,128971,259,"อำเภอสองพี่น้อง (เฉพาะเทศบาลตำบลเทพา, ตำบลทุ่งคอก, ตำบลหนองบ่อ, ตำบลบ่อสุพรรณ)"
SPB_3,3,SPB,128971,259,อำเภออู่ทอง
SPB_4,4,SPB,137079,271,อำเภอเดิมบางนางบวช
SPB_4,4,SPB,137079,271,อำเภอด่านช้าง
SPB_4,4,SPB,137079,271,"อำเภอหนองหญ้าไซ (เฉพาะตำบลแจงงาม, ตำบลหนองขาม, ตำบลทัพหลวง, ตำบลหนองโพธิ์)"
SPB_5,5,SPB,144666,233,อำเภอดอนเจดีย์
SPB_5,5,SPB,144666,233,อำเภอศรีประจันต์
SPB_5,5,SPB,144666,233,อำเภอสามชุก
SPB_5,5,SPB,144666,233,"อำเภอหนองหญ้าไซ (เฉพาะเทศบาลตำบลหนองหญ้าไซ, ตำบลหนองหญ้าไซ, ตำบลหนองราชวัตร)"
SPK_1,1,SPK,127894,182,"อำเภอเมืองสมุทรปราการ (เฉพาะตำบลบางโปรง, ตำบลบางด้วน, ตำบลบางเมือง, ตำบลท้ายบ้าน, ตำบลปากน้ำ)"
SPK_2,2,SPK,125225,142,"อำเภอเมืองสมุทรปราการ (เฉพาะตำบลบางปู, ตำบลบางปูใหม่, ตำบลแพรกษา, ตำบลท้ายบ้านใหม่)"
SPK_3,3,SPK,140971,180,"อำเภอเมืองสมุทรปราการ (เฉพาะตำบลเทพารักษ์, ตำบลสำโรงเหนือ, ตำบลบางเมืองใหม่)"
SPK_4,4,SPK,126797,123,"อำเภอบางพลี (เฉพาะตำบลบางพลีใหญ่, ตำบลบางแก้ว)"
SPK_5,5,SPK,148174,159,อำเภอเมืองสมุทรปราการ (เฉพาะตำบลแพรกษาใหม่)
SPK_5,5,SPK,148174,159,อำเภอบางเสาธง (เฉพาะตำบลศีรษะจรเข้น้อย)
SPK_5,5,SPK,148174,159,"อำเภอบางพลี (เฉพาะตำบลบางปลา, ตำบลบางโฉลง, ตำบลราชาเทวะ, ตำบลหนองปรือ)"
SPK_6,6,SPK,132580,236,อำเภอพระประแดง (ยกเว้นตำบลบางจาก)
SPK_7,7,SPK,139838,199,อำเภอพระประแดง (เฉพาะตำบลบางจาก)
SPK_7,7,SPK,139838,199,อำเภอพระสมุทรเจดีย์
